,prime,target,group,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
42,escelar,climb,control,129,UVNXDTST,z,True,1.7453432000002067,27603.192017400004,0.4863340000010794,0.1007867999978771,0.04960220000066329,0.049958799998421455,61.021189607028504
43,pome,hunger,control,128,QNNAGYSG,z,True,0.8607913999985612,27605.3740148,0.4806955999993079,0.09933269999964978,0.05118940000102157,0.050063599999702994,60.113458140552
44,daixa,box,control,117,DZIQOOHH,m,True,0.6682096999975329,27607.230037700003,0.4838468000016292,0.10280929999862563,0.04812300000048708,0.05012960000021849,59.723349499697036
45,seco,dream,incongruent,88,JPQETKHA,z,True,0.8513464999996359,27609.280082200003,0.4876851000008173,0.09778300000107264,0.050876099998276914,0.04953390000082436,59.881458664120544
46,prato,tooth,incongruent,70,SUKGKOBC,m,True,1.243519200001174,27611.73907,0.4894767000005231,0.09982250000030037,0.04937019999852055,0.04970090000279015,59.52685673271525
47,banudo,straw,control,111,HOKHNBXE,m,True,1.1460775999985344,27614.111727999996,0.4777477999996336,0.10034020000239252,0.051071899997623404,0.0505025000020396,59.597206320898145
48,sonho,deep,incongruent,87,FRXXIYMX,z,True,0.7739141000020027,27616.1231699,0.4829591999987315,0.09879100000034667,0.05018940000081784,0.050241500000993256,60.61561215730704
49,escalar,climb,congruent,29,OCVMGNWV,z,True,1.02101870000115,27618.3392366,0.4877171000007365,0.10084540000025301,0.04920189999756985,0.05075720000240835,58.94856973115096
50,caixa,box,congruent,17,GEIHCRYM,m,True,1.0011529000003063,27620.512639099998,0.4848566000000574,0.10085780000008526,0.0479661000026681,0.049370699998689815,59.969259756815866
51,metade,better,incongruent,84,WLOJGQGJ,z,True,0.95627020000029,27623.838300200005,0.4880054999994172,0.09832420000020647,0.05032840000058058,0.05001949999859789,59.920569293223906
52,tonho,dream,control,137,GTXFZPFC,z,True,0.877010700001847,27625.9307936,0.4775111000017205,0.10023549999823443,0.05190339999899152,0.049619699999311706,60.744595096953354
53,seco,dry,congruent,38,SVDKSNFQ,z,True,0.7036976000017603,27627.905162199997,0.48617589999776095,0.1018420000000333,0.05050160000246251,0.04859709999800543,59.983072776718295
54,cebar,blind,control,125,EXNSUQWS,z,True,1.9007953000000268,27631.0407677,0.4896670000016457,0.09921250000115832,0.05259459999797401,0.05038950000016485,60.133014227436064
55,tristuza,sadness,control,135,OPGJKOGQ,z,True,0.7593747999999323,27633.011062299996,0.4750577000013436,0.10028349999993223,0.04903809999814257,0.05145970000012312,60.43015392093457
56,braço,fire,incongruent,66,IFXQUXJU,m,True,-12.66070299999774,27621.659181299998,0.4796016999971471,0.09933799999998882,0.04932430000189925,0.051986200000101235,59.6737754049811
57,morango,shoe,incongruent,57,QHHOSVDQ,m,True,-1.2790710999979638,27635.7251952,0.4788129000007757,0.09842379999827244,0.050681400000030415,0.050386400002025766,59.60907178613218
58,denti,tooth,control,119,ICSFAOGY,m,True,-1.4129685999978392,27637.7532944,0.4755552999995416,0.1005236999990302,0.04980210000212537,0.049259299998084316,60.572030139198645
59,cato,cat,control,124,BFWCKGIJ,m,True,-1.2312255000033474,27639.970980500002,0.4865427000004274,0.10056930000064312,0.050155000000813736,0.0504676999989897,61.19561545638276
60,sonho,dream,congruent,37,LGPBAVVW,z,True,0.6724572999992233,27644.0905917,0.4889254000008805,0.09892860000036308,0.050536899998405715,0.04968320000261883,60.57738730979108
61,darde,evening,control,140,KGXDHQBW,z,True,0.8669932000011613,27646.120757,0.4809192000029725,0.09920009999768807,0.05242080000243732,0.04757499999686843,60.33309903886341
62,draço,arm,control,116,WTKIIGQO,m,True,-5.1618837999994875,27642.245563,0.4807131000015943,0.1019629000002169,0.04915909999908763,0.050192300001072,59.82288835614485
63,cereja,button,incongruent,52,ZUXWXLMJ,m,True,-1.2834732000010265,27648.789137599997,0.4854173999992781,0.09988280000106896,0.04961209999964922,0.04976639999949839,60.302465104548226
64,corango,strawberry,control,107,IGQFEMBH,m,True,-1.2049741000009817,27651.701942000003,0.4843940999999177,0.1007884999999078,0.05052729999806616,0.047766300001967466,59.314232568930386
