,prime,target,class,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
55,tristuza,sadness,control,135,OPGJKOGQ,z,True,0.7593747999999323,27633.0110623,0.4750577000013436,0.10028349999993225,0.04903809999814257,0.05145970000012312,60.430153920934565
56,braço,fire,incongruent,66,IFXQUXJU,m,True,-12.660702999997739,27621.6591813,0.4796016999971471,0.09933799999998882,0.049324300001899246,0.051986200000101235,59.673775404981086
57,morango,shoe,incongruent,57,QHHOSVDQ,m,True,-1.2790710999979638,27635.7251952,0.4788129000007757,0.09842379999827244,0.05068140000003041,0.050386400002025766,59.60907178613218
58,denti,tooth,control,119,ICSFAOGY,m,True,-1.4129685999978392,27637.7532944,0.4755552999995416,0.10052369999903021,0.04980210000212537,0.049259299998084316,60.572030139198645
59,cato,cat,control,124,BFWCKGIJ,m,True,-1.2312255000033474,27639.9709805,0.48654270000042743,0.10056930000064312,0.05015500000081374,0.0504676999989897,61.19561545638276
60,sonho,dream,congruent,37,LGPBAVVW,z,True,0.6724572999992233,27644.0905917,0.4889254000008805,0.09892860000036308,0.050536899998405715,0.04968320000261883,60.57738730979108
61,darde,evening,control,140,KGXDHQBW,z,True,0.8669932000011613,27646.120757,0.4809192000029725,0.09920009999768808,0.05242080000243732,0.04757499999686843,60.33309903886341
62,draço,arm,control,116,WTKIIGQO,m,True,-5.161883799999487,27642.245563,0.4807131000015943,0.1019629000002169,0.04915909999908763,0.050192300001072,59.82288835614484
63,cereja,button,incongruent,52,ZUXWXLMJ,m,True,-1.2834732000010263,27648.7891376,0.48541739999927813,0.09988280000106897,0.04961209999964922,0.04976639999949839,60.30246510454823
64,corango,strawberry,control,107,IGQFEMBH,m,True,-1.2049741000009817,27651.701942,0.48439409999991767,0.1007884999999078,0.050527299998066155,0.047766300001967466,59.314232568930386
65,peco,dry,control,138,TIOESAQU,z,True,0.8444675999999163,27655.8860641,0.4811243000003742,0.10041300000011688,0.05124660000001313,0.050292899999476504,60.05800401929283
66,escada,cream,incongruent,55,SEKFXZGG,m,True,-3.645582500001183,27653.5961434,0.4752816000000166,0.10062960000141175,0.04858109999986482,0.051013599997531855,58.59009956197282
67,cavalo,cherry,incongruent,53,NVXCPHGV,m,True,-1.176931499998318,27658.0871067,0.48342480000064825,0.09855179999794927,0.05101990000184742,0.05129730000044219,60.35917329682629
68,perigo,cough,incongruent,95,UWROJTPF,z,True,0.8691065000020899,27662.645196,0.48015120000127354,0.09926110000014887,0.049995099998341175,0.05068370000299183,59.568769761928394
69,coelho,rabbit,congruent,21,VLLPHUHH,m,True,-3.34259149999707,27660.5193145,0.4787218999990728,0.09900560000096448,0.050602200000867015,0.05047299999932875,59.65191912123984
